Time,shipment_id,W60_T_mean,W60_T_std,W60_T_range,W60_delta,W60_slope,W60_hot_ratio_mean,W60_over_auc_mean,W60_over_dur_mean,W60_spatial_range_mean,W60_spatial_std_mean,W60_active_ratio_mean,y_next_120_R2
2019-03-12 18:30:00,S1,28.06190491,0.142777756,0.399999619,-0.400000006,-0.083265305,1.0,1443.714233,0.777777791,0.783333361,0.252521902,0.777777791,1.0
2019-03-12 18:40:00,S1,27.98809433,0.129209176,0.357143402,-0.357142866,-0.074693881,1.0,1439.285767,0.777777791,0.833333313,0.264394253,0.777777791,1.0
2019-03-12 18:50:00,S1,27.93095207,0.102159232,0.285715103,-0.271428585,-0.055918366,1.0,1435.857178,0.777777791,0.833333313,0.265778333,0.777777791,1.0
2019-03-12 19:00:00,S1,27.88809586,0.062497165,0.185714722,-0.157142863,-0.029795919,1.0,1433.285767,0.777777791,0.833333313,0.262355864,0.777777791,1.0
2019-03-12 19:10:00,S1,27.86666679,0.028171809,0.08571434,-0.028571429,-0.004897959,1.0,1432.0,0.777777791,0.850000024,0.264122874,0.777777791,1.0
2019-03-12 19:20:00,S1,27.86190414,0.021295885,0.057142258,0.014285714,0.007346939,1.0,1431.714233,0.777777791,0.850000024,0.263212234,0.777777791,1.0
2019-03-12 19:30:00,S1,27.86428642,0.022961073,0.057142258,0.057142857,0.012653061,1.0,1431.857178,0.777777791,0.833333313,0.259433776,0.777777791,1.0
2019-03-12 19:40:00,S1,27.87619019,0.019633837,0.057142258,0.057142857,0.010612245,1.0,1432.571411,0.777777791,0.816666663,0.256113023,0.777777791,1.0
2019-03-12 19:50:00,S1,27.89523888,0.030491067,0.100000381,0.100000001,0.015510204,1.0,1433.714233,0.777777791,0.816666663,0.26063174,0.777777791,1.0
2019-03-12 20:00:00,S1,27.91190529,0.032384455,0.071430206,0.071428575,0.016734693,1.0,1434.714233,0.777777791,0.816666663,0.267101705,0.777777791,1.0
2019-03-12 20:10:00,S1,27.9285717,0.039555352,0.100000381,0.100000001,0.022040816,1.0,1435.714233,0.777777791,0.816666663,0.269631237,0.777777791,1.0
2019-03-12 20:20:00,S1,27.94761848,0.041785546,0.114286423,0.114285715,0.023673469,1.0,1436.857178,0.777777791,0.833333313,0.277686983,0.777777791,1.0
2019-03-12 20:30:00,S1,27.9642849,0.032732684,0.100000381,0.085714288,0.016734693,1.0,1437.857178,0.777777791,0.850000024,0.282894164,0.777777791,1.0
2019-03-12 20:40:00,S1,27.97857094,0.015971914,0.042856216,0.028571429,0.006938776,1.0,1438.714233,0.777777791,0.866666675,0.290112793,0.777777791,1.0
2019-03-12 20:50:00,S1,27.98095322,0.0134687,0.042856216,0.014285714,0.001632653,1.0,1438.857178,0.777777791,0.883333325,0.294114172,0.777777791,1.0
2019-03-12 21:00:00,S1,27.97619057,0.022837292,0.071428299,-0.057142857,-0.010612245,1.0,1438.571411,0.777777791,0.899999976,0.29731828,0.777777791,1.0
2019-03-12 21:10:00,S1,27.9642849,0.031676512,0.08571434,-0.085714288,-0.01755102,1.0,1437.857178,0.777777791,0.899999976,0.295647174,0.777777791,1.0
2019-03-12 21:20:00,S1,27.95000076,0.031676512,0.071428299,-0.071428575,-0.01755102,1.0,1437.0,0.777777791,0.899999976,0.291127473,0.777777791,1.0
2019-03-12 21:30:00,S1,27.9285717,0.042056005,0.128570557,-0.128571436,-0.023673469,1.0,1435.714233,0.777777791,0.899999976,0.293082088,0.777777791,1.0
2019-03-12 21:40:00,S1,27.90476227,0.043383017,0.128570557,-0.128571436,-0.024489796,1.0,1434.285767,0.777777791,0.916666687,0.296484888,0.777777791,1.0
2019-03-12 21:50:00,S1,27.88095284,0.039267674,0.100000381,-0.100000001,-0.022040816,1.0,1432.857178,0.777777791,0.916666687,0.295687586,0.777777791,1.0
2019-03-12 22:00:00,S1,27.8571434,0.045922145,0.128570557,-0.128571436,-0.026122449,1.0,1431.428589,0.777777791,0.916666687,0.29934144,0.777777791,1.0
2019-03-12 22:10:00,S1,27.82857132,0.054084841,0.17142868,-0.171428576,-0.031020408,1.0,1429.714233,0.777777791,0.933333337,0.306030571,0.777777791,1.0
2019-03-12 22:20:00,S1,27.79523849,0.052596956,0.142858505,-0.142857149,-0.030204082,1.0,1427.714233,0.777777791,0.966666639,0.316714555,0.777777791,1.0
